,Course,College,Graduated,SCHOOL,Pr1,Pr2,Pr3,Pr4,Pr5,Oapr
607,BS ELECTRONICS COMMUNICATION ENGINEERING,COE,1,PILAR COLLEGE,96.95,92.88,97.72,96.87,87.72,97.92
608,BS ELECTRONICS COMMUNICATION ENGINEERING,COE,1,WESTERN MINDANAO STATE UNIVERSITY,91.83,61.11,72.66,96.87,72.9,90.13
609,BS ELECTRONICS COMMUNICATION ENGINEERING,COE,1,PILAR COLLEGE,99.64,92.88,85.06,92.22,91.68,98.18
610,BS ELECTRONICS COMMUNICATION ENGINEERING,COE,1,WESTERN MINDANAO STATE UNIVERSITY,89.71,94.82,89.19,98.63,87.72,96.17
611,BS ELECTRONICS COMMUNICATION ENGINEERING,COE,1,WESTERN MINDANAO STATE UNIVERSITY,86.35,87.4,59.25,44.18,91.68,84.19
612,BS ELECTRONICS COMMUNICATION ENGINEERING,COE,1,PILAR COLLEGE,92.71,71.99,94.84,93.38,79.78,93.53
613,BS ELECTRONICS COMMUNICATION ENGINEERING,COE,1,WESTERN MINDANAO STATE UNIVERSITY,92.71,66.85,93.41,97.62,87.72,94.79
614,BS ELECTRONICS COMMUNICATION ENGINEERING,COE,1,UNIVERSIDAD DE ZAMBOANGA SENIOR HIGH SCHOOL,94.81,92.88,96.28,79.96,79.78,95.1
615,BS ELECTRONICS COMMUNICATION ENGINEERING,COE,1,UNIVERSIDAD DE ZAMBOANGA,95.51,94.82,85.06,95.71,95.65,96.72
616,BS ELECTRONICS COMMUNICATION ENGINEERING,COE,1,ZAMBOANGA CHONG HUA HIGH SCHOOL,66.01,77.12,36.55,93.38,43.49,72.43
617,BS ELECTRONICS COMMUNICATION ENGINEERING,COE,1,TAMPILISAN NATIONAL HIGH SCHOOL,94.11,92.88,96.28,99.88,83.75,98.69
618,BS ELECTRONICS COMMUNICATION ENGINEERING,COE,1,CLARET COLLEGE OF ISABELA,52.9,71.99,80.93,75.28,72.9,71.42
619,BS ELECTRONICS COMMUNICATION ENGINEERING,COE,1,MARCELO SPINOLA SCHOOL,86.35,66.85,98.86,34.54,79.78,87.64
620,BS ELECTRONICS COMMUNICATION ENGINEERING,COE,1,REGIONAL SCIENCE HIGH SCHOOL,94.81,96.76,91.97,84.63,97.87,96.35
621,BS ELECTRONICS COMMUNICATION ENGINEERING,COE,1,WESTERN MINDANAO STATE UNIVERSITY,83.47,90.94,93.41,94.54,72.9,91.56
622,BS ELECTRONICS COMMUNICATION ENGINEERING,COE,1,WESTERN MINDANAO STATE UNIVERSITY,94.81,71.99,91.97,79.96,95.65,93.85
623,BS ELECTRONICS COMMUNICATION ENGINEERING,COE,1,NOTRE DAME OF BONGAO,93.41,71.99,44.12,63.45,91.68,86.95
624,BS ELECTRONICS COMMUNICATION ENGINEERING,COE,1,TUNGAWAN - ESU,83.47,82.26,98.58,93.38,97.87,94.16
625,AB JOURNALISM,CLA,1,CULIANAN NATIONAL HIGH SCHOOL,76.83,77.12,29.96,75.28,72.9,74.25
626,AB JOURNALISM,CLA,1,CURUAN NATIONAL HIGH SCHOOL,37.99,66.85,51.68,70.61,83.75,60.09
627,AB JOURNALISM,CLA,1,SURABAY NATIONAL HIGH SCHOOL,52.9,71.99,72.66,63.45,33.69,62.48
628,AB JOURNALISM,CLA,1,SOUTHERN CITY COLLEGES,74.8,42.05,72.66,70.61,33.69,68.07
629,AB JOURNALISM,CLA,1,UNIVERSIDAD DE ZAMBOANGA SENIOR HIGH SCHOOL,94.81,90.94,72.66,92.22,72.9,92.9
630,AB JOURNALISM,CLA,1,BUNGUIAO NATIONAL HIGH SCHOOL,55.84,66.85,72.66,53.82,43.49,62.48
631,AB JOURNALISM,CLA,1,SYSTEM TECHNOLOGY INSTITUTE,76.83,15.12,72.66,53.82,43.49,62.48
632,AB JOURNALISM,CLA,1,DON PABLO LORENZO MEMORIAL HIGH SCHOOL,72.78,66.85,76.79,70.61,87.72,78.81
633,AB JOURNALISM,CLA,1,MARIAN COLLEGE,87.6,61.11,85.06,34.54,87.72,83.5
634,AB JOURNALISM,CLA,1,ZAMBOANGA CITY STATE POLYTECHNIC COLLEGE,72.78,54.75,44.12,53.82,43.49,63.6
635,AB JOURNALISM,CLA,1,SYSTEM TECHNOLOGY INSTITUTE,78.85,82.26,51.68,24.91,87.72,76.07
636,AB JOURNALISM,CLA,1,PILAR COLLEGE,66.01,92.88,24.36,75.28,79.78,73.34
637,AB JOURNALISM,CLA,1,SYSTEM TECHNOLOGY INSTITUTE,74.8,77.12,59.25,53.82,79.78,75.16
638,AB JOURNALISM,CLA,1,AYALA NATIONAL HIGH SCHOOL,80.58,82.26,80.93,63.45,53.29,80.63
639,AB JOURNALISM,CLA,1,SOUTHERN CITY COLLEGES,55.84,30.03,72.66,84.63,43.49,61.37
640,AB JOURNALISM,CLA,1,MARIAN COLLEGE,61.05,87.4,36.55,14.31,87.72,64.72
641,AB JOURNALISM,CLA,1,SAINT MARY'S ACADEMY,61.05,94.82,80.93,24.91,20.6,68.07
642,AB JOURNALISM,CLA,1,SYSTEM TECHNOLOGY INSTITUTE,88.66,82.26,59.25,44.18,72.9,82.12
643,AB JOURNALISM,CLA,1,CLARET COLLEGE OF ISABELA,76.83,61.11,51.68,34.54,53.29,66.95
644,AB JOURNALISM,CLA,1,CULIANAN NATIONAL HIGH SCHOOL,74.8,71.99,44.12,24.91,26.06,62.48
645,AB JOURNALISM,CLA,1,CLARET COLLEGE OF ISABELA,66.01,48.4,76.79,79.96,9.69,63.6
646,AB JOURNALISM,CLA,1,WESTERN MINDANAO STATE UNIVERSITY,78.85,71.99,44.12,53.82,53.29,71.42
647,AB JOURNALISM,CLA,1,WESTERN MINDANAO STATE UNIVERSITY,66.01,66.85,59.25,79.96,91.68,76.07
648,AB JOURNALISM,CLA,1,BALUNO NATIONAL HIGH SCHOOL,41.05,48.4,80.93,70.61,63.1,60.09
649,AB JOURNALISM,CLA,1,AMA COMPUTER COLLEGE,44.05,42.05,66.81,92.22,53.29,61.37
650,BS COMPUTER ENGINEERING,COE,1,SYSTEM TECHNOLOGY INSTITUTE,78.85,42.05,44.12,79.96,53.29,70.3
651,BS COMPUTER ENGINEERING,COE,1,WESTERN MINDANAO STATE UNIVERSITY,94.81,66.85,94.84,75.28,63.1,91.56
652,BS COMPUTER ENGINEERING,COE,1,UNIVERSIDAD DE ZAMBOANGA SENIOR HIGH SCHOOL,88.66,77.12,91.97,94.54,63.1,91.08
653,BS COMPUTER ENGINEERING,COE,1,SYSTEM TECHNOLOGY INSTITUTE,72.78,42.05,59.25,44.18,87.72,69.19
654,BS COMPUTER ENGINEERING,COE,1,WESTERN MINDANAO STATE UNIVERSITY,95.51,77.12,93.41,89.31,72.9,93.85
655,BS COMPUTER ENGINEERING,COE,1,PILAR COLLEGE,87.6,87.4,85.06,93.38,97.87,93.22
656,BS COMPUTER ENGINEERING,COE,1,AMA COMPUTER COLLEGE,96.52,92.88,96.28,96.87,91.68,97.8
657,BS COMPUTER ENGINEERING,COE,1,SYSTEM TECHNOLOGY INSTITUTE,91.83,94.82,94.84,92.22,91.68,95.73
658,BS COMPUTER ENGINEERING,COE,1,AMA COMPUTER COLLEGE,70.75,77.12,93.41,53.82,72.9,79.72
659,BS COMPUTER ENGINEERING,COE,1,WESTERN MINDANAO STATE UNIVERSITY,89.71,82.26,80.93,92.22,91.68,92.03
660,BS COMPUTER ENGINEERING,COE,1,WESTERN MINDANAO STATE UNIVERSITY,84.91,82.26,85.06,98.63,98.34,94.79
661,BS COMPUTER ENGINEERING,COE,1,AYALA NATIONAL HIGH SCHOOL,63.53,54.75,51.68,63.45,63.1,63.6
662,BS COMPUTER ENGINEERING,COE,1,CALDWELL ADVENTIST ACADEMY,94.11,96.76,91.97,92.22,95.65,96.35
663,BS COMPUTER ENGINEERING,COE,1,WESTERN MINDANAO STATE UNIVERSITY,63.53,77.12,66.81,75.28,53.29,71.42
664,BS COMPUTER ENGINEERING,COE,1,AYALA NATIONAL HIGH SCHOOL,89.71,92.88,89.19,92.22,79.78,92.9
665,BS COMPUTER ENGINEERING,COE,1,ZAMBOANGA CHONG HUA HIGH SCHOOL,68.5,94.82,98.58,93.38,95.65,92.51
666,BS COMPUTER ENGINEERING,COE,1,SIOCON NATIONAL HIGH SCHOOL,94.81,87.4,98.58,99.75,97.87,98.94
667,BS COMPUTER ENGINEERING,COE,1,BALIWASAN SENIOR HIGH SCHOOL - WEST,74.8,71.99,59.25,75.28,63.1,75.16
668,BS COMPUTER ENGINEERING,COE,1,AYALA NATIONAL HIGH SCHOOL,99.32,96.76,98.58,84.63,91.68,98.69
669,BS COMPUTER ENGINEERING,COE,1,LILOY NATIONAL HIGH SCHOOL,58.56,82.26,59.25,70.61,53.29,68.07
670,BS COMPUTER ENGINEERING,COE,1,UNIVERSIDAD DE ZAMBOANGA SENIOR HIGH SCHOOL,92.71,87.4,89.19,79.96,95.65,93.53
671,BS COMPUTER ENGINEERING,COE,1,NONE,91.83,90.94,96.28,92.22,72.9,94.16
672,BS COMPUTER ENGINEERING,COE,1,SYSTEM TECHNOLOGY INSTITUTE,84.91,90.94,85.06,63.45,87.72,88.22
673,BS COMPUTER ENGINEERING,COE,1,REGIONAL SCIENCE HIGH SCHOOL,90.77,94.82,97.72,92.22,95.65,96.17
674,BS COMPUTER ENGINEERING,COE,1,WESTERN MINDANAO STATE UNIVERSITY,91.83,87.4,91.97,93.38,33.69,91.56
675,BS AGRICULTURE,College of Agriculture,1,ZAMBOANGA CITY HIGH SCHOOL,96.95,87.4,93.41,63.45,87.72,94.79
676,BS AGRICULTURE,College of Agriculture,1,AYALA NATIONAL HIGH SCHOOL,58.56,66.85,72.66,79.96,33.69,66.95
677,BS AGRICULTURE,College of Agriculture,1,AYALA NATIONAL HIGH SCHOOL,82.02,61.11,72.66,53.82,87.72,79.72
678,BS AGRICULTURE,College of Agriculture,1,ICAS DE CALARIAN,66.01,54.75,51.68,2.74,95.65,61.37
679,BS AGRICULTURE,College of Agriculture,1,SYSTEM TECHNOLOGY INSTITUTE,94.11,92.88,51.68,84.63,43.49,89.17
680,BS AGRICULTURE,College of Agriculture,1,MARIA CLARA LOBREGAT NATIONAL HIGH SCHOOL,49.95,66.85,29.96,63.45,87.72,61.37
681,BS AGRICULTURE,College of Agriculture,1,NONE,49.95,77.12,66.81,70.61,63.1,65.83
682,BS AGRICULTURE,College of Agriculture,1,AYALA NATIONAL HIGH SCHOOL,66.01,61.11,80.93,75.28,53.29,72.43
683,BS AGRICULTURE,College of Agriculture,1,AURORA PIONEER MEMORIAL COLLEGE,58.56,87.4,80.93,34.54,9.69,62.48
684,BS AGRICULTURE,College of Agriculture,1,DON PABLO LORENZO MEMORIAL HIGH SCHOOL,80.58,30.03,59.25,14.31,79.78,64.72
685,BS AGRICULTURE,College of Agriculture,1,DIPLAHAN NATIONAL HIGH SCHOOL,74.8,30.03,76.79,44.18,53.29,65.83
686,BS AGRICULTURE,College of Agriculture,1,PAGADIAN CITY NATIONAL HIGH SCHOOL,87.6,35.7,44.12,44.18,43.49,69.19
687,BS AGRICULTURE,College of Agriculture,1,BALIWASAN SENIOR HIGH SCHOOL WEST,61.05,82.26,59.25,94.54,26.06,73.34
688,BS AGRICULTURE,College of Agriculture,1,AYALA NATIONAL HIGH SCHOOL,80.58,82.26,51.68,34.54,33.69,71.42
689,BS AGRICULTURE,College of Agriculture,1,REGIONAL SCIENCE HIGH SCHOOL,96.08,92.88,99.43,99.47,98.34,99.36
690,BS AGRICULTURE,College of Agriculture,1,AYALA NATIONAL HIGH SCHOOL,68.5,48.4,91.97,44.18,20.6,65.83
691,BS AGRICULTURE,College of Agriculture,1,DON PABLO LORENZO MEMORIAL HIGH SCHOOL,55.84,61.11,59.25,24.91,79.78,60.09
692,BS AGRICULTURE,College of Agriculture,1,DIPLAHAN NATIONAL HIGH SCHOOL,63.53,77.12,76.79,14.31,83.75,69.19
693,BS AGRICULTURE,College of Agriculture,1,MARIA CLARA LOBREGAT NATIONAL HIGH SCHOOL,68.5,61.11,72.66,10.45,53.29,61.37
694,BS AGRICULTURE,College of Agriculture,1,MANICAHAN NATIONAL HIGH SCHOOL,74.8,66.85,89.19,93.38,72.9,84.19
695,BS AGRICULTURE,College of Agriculture,1,AYALA NATIONAL HIGH SCHOOL,58.56,48.4,59.25,63.45,53.29,60.09
696,BS AGRICULTURE,College of Agriculture,1,MARIA CLARA LOBREGAT NATIONAL HIGH SCHOOL,61.05,48.4,89.19,44.18,33.69,63.6
697,BS AGRICULTURE,College of Agriculture,1,DON PABLO LORENZO MEMORIAL HIGH SCHOOL,44.05,48.4,59.25,70.61,87.72,61.37
698,BS AGRICULTURE,College of Agriculture,1,DON PABLO LORENZO MEMORIAL HIGH SCHOOL,72.78,54.75,24.36,24.91,79.78,61.37
699,BS AGRICULTURE,College of Agriculture,1,AYALA NATIONAL HIGH SCHOOL,52.9,77.12,29.96,75.28,53.29,61.37
700,BS MATHEMATICS,CSM,1,DON PABLO LORENZO MEMORIAL HIGH SCHOOL,55.84,15.12,76.79,92.22,33.69,60.09
701,BS MATHEMATICS,CSM,1,NONE,72.78,66.85,66.81,75.28,53.29,73.34
702,BS MATHEMATICS,CSM,1,SOUTHERN CITY COLLEGES,78.85,82.26,91.97,92.22,72.9,87.64
703,BS MATHEMATICS,CSM,1,PAGADIAN JUNIOR COLLEGE,93.41,30.03,66.81,98.97,26.06,88.22
704,BS MATHEMATICS,CSM,1,CLARET HIGH SCHOOL,96.08,66.85,96.28,99.34,91.68,97.8
705,BS MATHEMATICS,CSM,1,COMPUTER TECHNOLOGY INSTITUTE,89.71,71.99,91.97,93.38,87.72,92.51
706,BS MATHEMATICS,CSM,1,AYALA NATIONAL HIGH SCHOOL,66.01,82.26,51.68,70.61,63.1,71.42
707,BS MATHEMATICS,CSM,1,MALAMAWI NATIONAL HIGH SCHOOL,11.54,71.99,85.06,96.87,43.49,61.37
708,BS MATHEMATICS,CSM,1,SOUTHERN CITY COLLEGES,58.56,35.7,85.06,84.63,63.1,69.19
709,BS MATHEMATICS,CSM,1,SOUTHERN CITY COLLEGES,61.05,61.11,51.68,89.31,63.1,69.19
710,BS MATHEMATICS,CSM,1,AURORA NATIONAL HIGH SCHOOL,84.91,87.4,80.93,95.71,87.72,91.56
711,BS MATHEMATICS,CSM,1,BALIWASAN SENIOR HIGH SCHOOL - WEST,76.83,87.4,3.34,89.31,83.75,75.16
712,BS MATHEMATICS,CSM,1,ATENEO DE ZAMBOANGA UNIVERSITY,93.41,87.4,96.28,89.31,79.78,94.48
713,BS MATHEMATICS,CSM,1,NONE,58.56,42.05,76.79,75.28,91.68,71.42
714,BS MATHEMATICS,CSM,1,TUAN DATO HADJI ABDULLA NUÑO MEMORIAL HIGH SCHOOL,70.75,87.4,66.81,70.61,79.78,77.9
715,BS MATHEMATICS,CSM,1,SYSTEM TECHNOLOGY INSTITUTE,44.05,42.05,66.81,89.31,79.78,63.6
716,BS MATHEMATICS,CSM,1,MARIAN COLLEGE,63.53,61.11,51.68,92.22,63.1,71.42
717,BS MATHEMATICS,CSM,1,HMIJ PHILIPPINE ISLAMIC COLLEGE,83.47,92.88,44.12,93.38,87.72,88.22
718,BS MATHEMATICS,CSM,1,SOUTHERN CITY COLLEGES,58.56,92.88,13.15,93.38,26.06,66.95
719,BS MATHEMATICS,CSM,1,LOYOLA HIGH SCHOOL,49.95,42.05,66.81,98.63,53.29,72.43
720,BS MATHEMATICS,CSM,1,SIRAWAI NATIONAL HIGH SCHOOL,72.78,82.26,51.68,79.96,79.78,77.9
721,BS MATHEMATICS,CSM,1,SOUTHERN CITY COLLEGES,49.95,54.75,80.93,98.29,4.24,69.19
722,BS MATHEMATICS,CSM,1,CONCEPCION NATIONAL HIGH SCHOOL,49.95,42.05,91.97,84.63,79.78,71.42
723,BS MATHEMATICS,CSM,1,SYSTEM TECHNOLOGY INSTITUTE,63.53,54.75,51.68,84.63,53.29,66.95
724,BS MATHEMATICS,CSM,1,CALDWELL ADVENTIST ACADEMY,68.5,54.75,29.96,70.61,87.72,68.07
725,BS ACCOUNTING,CLA,1,CLARET COLLEGE OF ISABELA,96.52,92.88,76.79,79.96,87.72,94.48
726,BS ACCOUNTING,CLA,1,NOTRE DAME OF JOLO COLLEGE,99.82,96.76,91.97,79.96,97.87,98.81
727,BS ACCOUNTING,CLA,1,SYSTEM TECHNOLOGY INSTITUTE,94.11,96.76,98.86,75.28,83.75,96.17
728,BS ACCOUNTING,CLA,1,SYSTEM TECHNOLOGY INSTITUTE,82.02,66.85,72.66,96.87,53.29,84.88
729,BS ACCOUNTING,CLA,1,SYSTEM TECHNOLOGY INSTITUTE,88.66,87.4,93.41,93.38,87.72,93.53
730,BS ACCOUNTING,CLA,1,NONE,80.58,96.76,51.68,95.71,87.72,89.65
731,BS ACCOUNTING,CLA,1,MARIAN COLLEGE,93.41,92.88,94.84,84.63,26.06,92.51
732,BS ACCOUNTING,CLA,1,SYSTEM TECHNOLOGY INSTITUTE,86.35,77.12,94.84,75.28,87.72,90.13
733,BS ACCOUNTING,CLA,1,SYSTEM TECHNOLOGY INSTITUTE,88.66,77.12,91.97,94.54,53.29,90.6
734,BS ACCOUNTING,CLA,1,IMELDA NATIONAL HIGH SCHOOL,88.66,96.76,89.19,75.28,43.49,89.65
735,BS ACCOUNTING,CLA,1,PILAR COLLEGE,83.47,90.94,80.93,92.22,72.9,88.7
736,BS ACCOUNTING,CLA,1,CULIANAN NATIONAL HIGH SCHOOL,70.75,87.4,85.06,79.96,79.78,82.81
737,BS ACCOUNTING,CLA,1,PILAR COLLEGE,84.91,61.11,76.79,92.22,98.34,89.17
738,BS ACCOUNTING,CLA,1,PILAR COLLEGE,86.35,92.88,89.19,70.61,79.78,89.17
739,BS ACCOUNTING,CLA,1,UBAY NATIONAL HIGH SCHOOL,91.83,94.82,85.06,98.29,91.68,96.35
740,BS ACCOUNTING,CLA,1,SYSTEM TECHNOLOGY INSTITUTE,83.47,71.99,93.41,95.71,95.65,92.51
741,BS ACCOUNTING,CLA,1,SYSTEM TECHNOLOGY INSTITUTE,84.91,66.85,93.41,70.61,79.78,86.26
742,BS ACCOUNTING,CLA,1,CLARET COLLEGE OF ISABELA,92.71,77.12,80.93,89.31,63.1,90.13
743,BS ACCOUNTING,CLA,1,PAGADIAN JUNIOR COLLEGE,88.66,82.26,66.81,93.38,79.78,89.17
744,BS ACCOUNTING,CLA,1,CLARET COLLEGE OF ISABELA,92.71,54.75,59.25,63.45,63.1,82.12
745,BS ACCOUNTING,CLA,1,CLARET COLLEGE OF ISABELA,94.81,92.88,93.41,44.18,98.81,95.1
746,BS ACCOUNTING,CLA,1,CLARET HIGH SCHOOL,99.42,96.76,99.14,79.96,87.72,98.81
747,BS ACCOUNTING,CLA,1,SYSTEM TECHNOLOGY INSTITUTE,86.35,87.4,93.41,75.28,63.1,88.7
748,BS ACCOUNTING,CLA,1,UNIVERSIDAD DE ZAMBOANGA SENIOR HIGH SCHOOL,90.77,92.88,85.06,97.62,91.68,95.42
749,BS ACCOUNTING,CLA,1,BASILAN NATIONAL HIGH SCHOOL,93.41,96.76,72.66,89.31,79.78,93.22
750,BS MECHANICAL ENGINEERING,COE,1,SINANGKAPAN NATIONAL HIGH SCHOOL,66.01,77.12,91.97,93.38,79.78,84.19
751,BS MECHANICAL ENGINEERING,COE,1,WESTERN MINDANAO STATE UNIVERSITY,89.71,82.26,72.66,79.96,26.06,84.19
752,BS MECHANICAL ENGINEERING,COE,1,BASILAN STATE COLLEGE,55.84,61.11,85.06,75.28,91.68,75.16
753,BS MECHANICAL ENGINEERING,COE,1,NONE,78.85,71.99,72.66,70.61,63.1,77.9
754,BS MECHANICAL ENGINEERING,COE,1,DON PABLO LORENZO MEMORIAL HIGH SCHOOL,74.8,71.99,76.79,93.38,83.75,84.19
755,BS MECHANICAL ENGINEERING,COE,1,PILAR COLLEGE,88.66,77.12,98.58,95.71,91.68,95.1
756,BS MECHANICAL ENGINEERING,COE,1,WESTERN MINDANAO STATE UNIVERSITY,86.35,92.88,91.97,79.96,87.72,91.56
757,BS MECHANICAL ENGINEERING,COE,1,ATENEO DE ZAMBOANGA UNIVERSITY,89.71,42.05,66.81,63.45,72.9,79.72
758,BS MECHANICAL ENGINEERING,COE,1,ATENEO DE ZAMBOANGA UNIVERSITY,91.83,94.82,89.19,94.54,98.34,96.17
759,BS MECHANICAL ENGINEERING,COE,1,WESTERN MINDANAO STATE UNIVERSITY,94.11,90.94,99.71,95.71,53.29,96.72
760,BS MECHANICAL ENGINEERING,COE,1,BASILAN NATIONAL HIGH SCHOOL,82.02,96.76,85.06,97.95,97.87,94.79
761,BS MECHANICAL ENGINEERING,COE,1,PILAR COLLEGE,97.83,87.4,98.58,97.95,97.87,98.69
762,BS MECHANICAL ENGINEERING,COE,1,UNIVERSIDAD DE ZAMBOANGA SENIOR HIGH SCHOOL,82.02,48.4,66.81,92.22,83.75,82.12
763,BS MECHANICAL ENGINEERING,COE,1,WESTERN MINDANAO STATE UNIVERSITY,90.77,54.75,72.66,75.28,95.65,87.64
764,BS MECHANICAL ENGINEERING,COE,1,NONE,84.91,25.06,51.68,84.63,53.29,73.34
765,BS MECHANICAL ENGINEERING,COE,1,CLARET COLLEGE OF ISABELA,82.02,66.85,51.68,18.16,83.75,73.34
766,BS MECHANICAL ENGINEERING,COE,1,ATENEO DE ZAMBOANGA UNIVERSITY,96.08,90.94,94.84,99.34,99.28,98.94
767,BS MECHANICAL ENGINEERING,COE,1,CLARET HIGH SCHOOL,92.71,94.82,72.66,70.61,91.68,92.03
768,BS MECHANICAL ENGINEERING,COE,1,ATENEO DE ZAMBOANGA UNIVERSITY,96.08,96.76,89.19,98.29,97.87,98.05
769,BS MECHANICAL ENGINEERING,COE,1,ATENEO DE ZAMBOANGA UNIVERSITY,66.01,87.4,51.68,79.96,87.72,77.9
770,BS MECHANICAL ENGINEERING,COE,1,REGIONAL SCIENCE HIGH SCHOOL,99.74,96.76,98.58,97.95,97.87,99.68
771,BS MECHANICAL ENGINEERING,COE,1,WESTERN MINDANAO STATE UNIVERSITY,96.95,96.76,93.41,94.54,79.78,97.09
772,BS MECHANICAL ENGINEERING,COE,1,SAINT JOSEPH SCHOOL,80.58,82.26,80.93,98.29,91.68,92.03
773,BS MECHANICAL ENGINEERING,COE,1,ATENEO DE ZAMBOANGA UNIVERSITY,72.78,77.12,29.96,89.31,79.78,76.07
774,BS MECHANICAL ENGINEERING,COE,1,PILAR COLLEGE,93.41,94.82,99.14,98.29,91.68,98.18
775,BS AGRICULTURAL ENGINEERING,COE,1,SIBUCO NATIONAL HIGH SCHOOL,88.66,77.12,72.66,24.91,43.49,78.81
776,BS AGRICULTURAL ENGINEERING,COE,1,ZAMBOANGA CITY STATE POLYTECHNIC COLLEGE,61.05,87.4,66.81,24.91,63.1,66.95
777,BS AGRICULTURAL ENGINEERING,COE,1,UNIVERSIDAD DE ZAMBOANGA SENIOR HIGH SCHOOL,99.64,92.88,96.28,92.22,99.28,99.23
778,BS AGRICULTURAL ENGINEERING,COE,1,BACONG NATIONAL HIGH SCHOOL,70.75,42.05,44.12,75.28,72.9,66.95
779,BS AGRICULTURAL ENGINEERING,COE,1,UNIVERSIDAD DE ZAMBOANGA SENIOR HIGH SCHOOL,82.02,54.75,66.81,44.18,72.9,74.25
780,BS AGRICULTURAL ENGINEERING,COE,1,ATENEO DE ZAMBOANGA UNIVERSITY,89.71,66.85,80.93,75.28,98.81,90.6
781,BS AGRICULTURAL ENGINEERING,COE,1,MARCELO SPINOLA SCHOOL,90.77,66.85,76.79,94.54,79.78,90.13
782,BS AGRICULTURAL ENGINEERING,COE,1,IPIL NATIONAL HIGH SCHOOL,94.81,71.99,97.72,84.63,72.9,93.85
783,BS AGRICULTURAL ENGINEERING,COE,1,TUNGAWAN - ESU,66.01,82.26,80.93,97.62,79.78,85.57
784,BS AGRICULTURAL ENGINEERING,COE,1,UNIVERSIDAD DE ZAMBOANGA SENIOR HIGH SCHOOL,82.02,54.75,66.81,44.18,72.9,74.25
785,BS AGRICULTURAL ENGINEERING,COE,1,AYALA NATIONAL HIGH SCHOOL,74.8,61.11,76.79,44.18,83.75,75.16
786,BS AGRICULTURAL ENGINEERING,COE,1,PILAR COLLEGE,58.56,77.12,91.97,93.38,53.29,79.72
787,BS AGRICULTURAL ENGINEERING,COE,1,WESTERN MINDANAO STATE UNIVERSITY,97.39,92.88,96.28,92.22,91.68,97.46
788,BS AGRICULTURAL ENGINEERING,COE,1,"MINDANAO AUTONOMOUS COLLEGE FOUNDATION, INC.",80.58,92.88,89.19,92.22,72.9,89.17
789,BS AGRICULTURAL ENGINEERING,COE,1,MARCELO SPINOLA SCHOOL,90.77,66.85,76.79,94.54,79.78,90.13
790,BS AGRICULTURAL ENGINEERING,COE,1,WESTERN MINDANAO STATE UNIVERSITY,92.71,90.94,94.84,63.45,91.68,93.53
791,BS AGRICULTURAL ENGINEERING,COE,1,AYALA NATIONAL HIGH SCHOOL,78.85,66.85,91.97,93.38,79.78,86.95
792,BS AGRICULTURAL ENGINEERING,COE,1,IPIL NATIONAL HIGH SCHOOL,94.81,71.99,97.72,84.63,72.9,93.85
793,BS AGRICULTURAL ENGINEERING,COE,1,BACONG NATIONAL HIGH SCHOOL,70.75,42.05,44.12,75.28,72.9,66.95
794,BS AGRICULTURAL ENGINEERING,COE,1,SIBUCO NATIONAL HIGH SCHOOL,88.66,77.12,72.66,24.91,43.49,78.81
795,BS AGRICULTURAL ENGINEERING,COE,1,TUNGAWAN - ESU,66.01,82.26,80.93,97.62,79.78,85.57
796,BS AGRICULTURAL ENGINEERING,COE,1,ATENEO DE ZAMBOANGA UNIVERSITY,63.53,66.85,51.68,75.28,53.29,66.95
797,BS AGRICULTURAL ENGINEERING,COE,1,UNIVERSIDAD DE ZAMBOANGA SENIOR HIGH SCHOOL,99.64,92.88,96.28,92.22,99.28,99.23
798,BS AGRICULTURAL ENGINEERING,COE,1,ATENEO DE ZAMBOANGA UNIVERSITY,63.53,66.85,51.68,75.28,53.29,66.95
799,BS AGRICULTURAL ENGINEERING,COE,1,"MINDANAO AUTONOMOUS COLLEGE FOUNDATION, INC.",80.58,92.88,89.19,92.22,72.9,89.17
800,BS ENVIRONMENTAL ENGINEERING,COE,1,KABASALAN NATIONAL HIGH SCHOOL,96.08,96.76,89.19,93.38,83.75,96.35
801,BS ENVIRONMENTAL ENGINEERING,COE,1,DON PABLO LORENZO MEMORIAL HIGH SCHOOL,61.05,48.4,85.06,63.45,43.49,65.83
802,BS ENVIRONMENTAL ENGINEERING,COE,1,BALIWASAN SENIOR HIGH SCHOOL WEST,55.84,61.11,76.79,63.45,63.1,65.83
803,BS ENVIRONMENTAL ENGINEERING,COE,1,WESTERN MINDANAO STATE UNIVERSITY,83.47,48.4,91.97,84.63,33.69,81.43
804,BS ENVIRONMENTAL ENGINEERING,COE,1,MARIAN COLLEGE,76.83,90.94,51.68,34.54,53.29,73.34
805,BS ENVIRONMENTAL ENGINEERING,COE,1,FERNDALE INTERNATIONAL SCHOOL,74.8,77.12,80.93,44.18,87.72,79.72
806,BS ENVIRONMENTAL ENGINEERING,COE,1,AMA COMPUTER COLLEGE,86.35,82.26,91.97,24.91,79.78,84.88
807,BS ENVIRONMENTAL ENGINEERING,COE,1,ST. MARY'S COLLEGE OF LABASON,93.41,82.26,72.66,53.82,53.29,86.26
808,BS ENVIRONMENTAL ENGINEERING,COE,1,SOUTHERN CITY COLLEGES,74.8,54.75,72.66,92.22,9.69,71.42
809,BS ENVIRONMENTAL ENGINEERING,COE,1,DON PABLO LORENZO MEMORIAL HIGH SCHOOL,61.05,48.4,85.06,63.45,43.49,65.83
